C,class_weight,preproc,keypoint_size,step,n_keypoints,n_words,accuracy,macro_f1,fit_seconds,n_iter,converged
10.0,balanced,raw_gray,6,3,256,500,0.5569604086845467,0.4773254328609586,5.947917739045806,23,True
100.0,balanced,raw_gray,6,3,256,500,0.5450830140485313,0.46564105167518677,9.974411277042236,235,True
0.1,,raw_gray,6,3,256,1000,0.6077905491698595,0.523076394772912,5.1577512079966255,14,True
1.0,,raw_gray,6,3,256,1000,0.6270753512132823,0.5693159903472034,5.66559122496983,18,True
10.0,,raw_gray,6,3,256,1000,0.6182630906768838,0.5641065329907792,6.515388645988423,25,True
100.0,,raw_gray,6,3,256,1000,0.5994891443167305,0.5368216899048281,12.73827239201637,165,True
0.1,balanced,raw_gray,6,3,256,1000,0.594125159642401,0.527047564064802,4.898254873987753,14,True
1.0,balanced,raw_gray,6,3,256,1000,0.6243933588761175,0.5673270320964248,5.245415124983992,20,True
10.0,balanced,raw_gray,6,3,256,1000,0.6144316730523627,0.5587622200189313,6.169589867000468,24,True
100.0,balanced,raw_gray,6,3,256,1000,0.5996168582375478,0.5352036572399522,15.21332340198569,281,True
0.1,,raw_gray,6,2,576,500,0.5485312899106003,0.44484958736160063,7.90965161198983,15,True
1.0,,raw_gray,6,2,576,500,0.6049808429118774,0.5230795776898407,10.351252845022827,19,True
10.0,,raw_gray,6,2,576,500,0.609323116219668,0.5368761232668704,18.46078976301942,25,True
100.0,,raw_gray,6,2,576,500,0.5970625798212005,0.5290739616184198,21.130279498989694,82,True
0.1,balanced,raw_gray,6,2,576,500,0.527330779054917,0.44001630634214056,5.914137205982115,14,True
1.0,balanced,raw_gray,6,2,576,500,0.5848020434227331,0.5104099254246591,6.258782014949247,20,True
10.0,balanced,raw_gray,6,2,576,500,0.6005108556832695,0.5330690198560682,7.101558273017872,28,True
100.0,balanced,raw_gray,6,2,576,500,0.5929757343550447,0.5216757343078109,11.779646316950675,199,True
0.1,,raw_gray,6,2,576,1000,0.6160919540229886,0.5335458416834654,6.984359966998454,14,True
1.0,,raw_gray,6,2,576,1000,0.6472541507024265,0.578162412582391,9.040055642020889,18,True
10.0,,raw_gray,6,2,576,1000,0.644955300127714,0.5813780519934215,14.415218559966888,24,True
100.0,,raw_gray,6,2,576,1000,0.6324393358876117,0.5649189134178029,31.214776666020043,143,True
0.1,balanced,raw_gray,6,2,576,1000,0.5973180076628353,0.5254498163169145,6.043440117035061,15,True
1.0,balanced,raw_gray,6,2,576,1000,0.6445721583652618,0.5799752475004695,6.363145779992919,18,True
10.0,balanced,raw_gray,6,2,576,1000,0.6450830140485313,0.5807126517306418,9.174490639008582,29,True
100.0,balanced,raw_gray,6,2,576,1000,0.6338441890166028,0.5660505972026009,31.360656236996874,348,True
0.1,,raw_gray,4,3,256,500,0.6472541507024265,0.5648553136167337,11.910187605011743,16,True
1.0,,raw_gray,4,3,256,500,0.6669220945083014,0.6140098363744761,5.942938747990411,18,True
10.0,,raw_gray,4,3,256,500,0.6549169859514687,0.6002515116065227,6.710461398004554,22,True
100.0,,raw_gray,4,3,256,500,0.6406130268199234,0.5833704890601751,8.961221459961962,64,True
0.1,balanced,raw_gray,4,3,256,500,0.6408684546615581,0.5773388829593759,5.134226317983121,13,True
1.0,balanced,raw_gray,4,3,256,500,0.6624521072796935,0.6105588034607693,5.614227101963479,17,True
10.0,balanced,raw_gray,4,3,256,500,0.6515964240102171,0.5971052925547591,6.137261886964552,27,True
100.0,balanced,raw_gray,4,3,256,500,0.639080459770115,0.5803713410382021,9.511610626999754,216,True
0.1,,raw_gray,4,3,256,1000,0.7127713920817369,0.6404062694411452,6.077477739017922,14,True
1.0,,raw_gray,4,3,256,1000,0.7348659003831418,0.6846983911102222,6.331294336996507,16,True
10.0,,raw_gray,4,3,256,1000,0.7192848020434227,0.6683006554653738,7.187327017949428,21,True
100.0,,raw_gray,4,3,256,1000,0.70485312899106,0.6510529340968856,11.941777280007955,99,True
0.1,balanced,raw_gray,4,3,256,1000,0.7102171136653895,0.6601850589572509,5.7662622420466505,13,True
1.0,balanced,raw_gray,4,3,256,1000,0.7332056194125159,0.6861784204532805,6.0874282530276105,16,True
10.0,balanced,raw_gray,4,3,256,1000,0.7203065134099617,0.6700552995904463,7.059628162998706,27,True
100.0,balanced,raw_gray,4,3,256,1000,0.7074074074074074,0.6538020443621008,14.41008103400236,248,True
0.1,,raw_gray,4,2,576,500,0.669220945083014,0.5835584160691233,7.357186825014651,14,True
1.0,,raw_gray,4,2,576,500,0.7,0.6339107360682993,7.748749810969457,17,True
10.0,,raw_gray,4,2,576,500,0.6968071519795658,0.6311374644784737,8.560928223014344,22,True
100.0,,raw_gray,4,2,576,500,0.680970625798212,0.610924345433801,11.248505944036879,86,True
0.1,balanced,raw_gray,4,2,576,500,0.6588761174968072,0.592576427002175,6.850886090018321,13,True
1.0,balanced,raw_gray,4,2,576,500,0.6960408684546615,0.6351427390609541,7.380925408040639,17,True
10.0,balanced,raw_gray,4,2,576,500,0.6956577266922095,0.63162206653109,7.991242116957437,21,True
100.0,balanced,raw_gray,4,2,576,500,0.6817369093231163,0.6098215032835917,12.00394054298522,152,True
0.1,,raw_gray,4,2,576,1000,0.7425287356321839,0.6671411884868301,7.1765647499705665,14,True
1.0,,raw_gray,4,2,576,1000,0.7650063856960408,0.7061734909944747,7.449406133033335,17,True
10.0,,raw_gray,4,2,576,1000,0.7600255427841635,0.7075562312143215,8.192203389015049,22,True
