C,class_weight,preproc,pixels_per_cell,orientations,feature_dim,accuracy,macro_f1,fit_seconds,n_iter,converged
0.1,balanced,clahe_gray,8,12,1200,0.8905491698595147,0.8753899547881298,59.356691326000146,15,True
1.0,balanced,clahe_gray,8,12,1200,0.8849297573435504,0.8669702879624787,62.975470003002556,38,True
10.0,balanced,clahe_gray,8,12,1200,0.8766283524904215,0.8561914763558195,99.9195701360004,144,True
0.01,,clahe_gray,6,9,1764,0.9260536398467433,0.9095461267133593,87.78760581299866,12,True
0.1,,clahe_gray,6,9,1764,0.9250319284802043,0.9121484346790776,64.64808814800199,15,True
1.0,,clahe_gray,6,9,1764,0.9160919540229885,0.8994678560071212,86.13597976000165,35,True
10.0,,clahe_gray,6,9,1764,0.9090676883780332,0.8911578707142318,142.34157251899887,80,True
0.01,balanced,clahe_gray,6,9,1764,0.9264367816091954,0.9137506350318404,151.77316821600107,13,True
0.1,balanced,clahe_gray,6,9,1764,0.923882503192848,0.9091049080749922,131.3423077910047,16,True
1.0,balanced,clahe_gray,6,9,1764,0.916602809706258,0.899626035613268,219.8956334100003,81,True
10.0,balanced,clahe_gray,6,9,1764,0.9106002554278416,0.893573445788275,264.0922717670037,117,True
0.01,,clahe_gray,6,12,2352,0.9257982120051086,0.9108415064036084,166.31279230600194,12,True
0.1,,clahe_gray,6,12,2352,0.9246487867177522,0.9097329538395212,174.21678682699712,15,True
1.0,,clahe_gray,6,12,2352,0.913154533844189,0.8952511133292467,244.4151689930004,42,True
10.0,,clahe_gray,6,12,2352,0.906896551724138,0.8885938081111182,285.3546608250035,100,True
0.01,balanced,clahe_gray,6,12,2352,0.9272030651340997,0.9117565424965508,164.13917592400685,13,True
0.1,balanced,clahe_gray,6,12,2352,0.9261813537675606,0.9107946983284875,174.56766838899784,17,True
1.0,balanced,clahe_gray,6,12,2352,0.9158365261813538,0.8983336466862268,278.7977293160002,88,True
10.0,balanced,clahe_gray,6,12,2352,0.9091954022988505,0.8912678841091278,311.0471585189953,145,True
0.01,,clahe_hsv,8,9,900,0.7844189016602809,0.7359321914232816,81.34113125700242,12,True
0.1,,clahe_hsv,8,9,900,0.7934865900383141,0.7537111013829091,122.86557359799917,15,True
1.0,,clahe_hsv,8,9,900,0.7885057471264367,0.7506096382999761,110.0869632640024,20,True
10.0,,clahe_hsv,8,9,900,0.7693486590038314,0.729993131358833,187.77079730699916,59,True
0.01,balanced,clahe_hsv,8,9,900,0.7859514687100894,0.7432382152490897,83.40385292300198,12,True
0.1,balanced,clahe_hsv,8,9,900,0.7939974457215837,0.7595485340483272,85.53708300899598,14,True
1.0,balanced,clahe_hsv,8,9,900,0.7883780332056194,0.7464817940352151,106.48367983500066,26,True
10.0,balanced,clahe_hsv,8,9,900,0.7720306513409961,0.7309511048736299,165.98767380299978,97,True
0.01,,clahe_hsv,8,12,1200,0.7915708812260537,0.7494815615337392,48.260400341001514,12,True
0.1,,clahe_hsv,8,12,1200,0.7997445721583653,0.774824538562681,53.446403185000236,15,True
1.0,,clahe_hsv,8,12,1200,0.7885057471264367,0.7606723986383842,65.33836932200211,22,True
10.0,,clahe_hsv,8,12,1200,0.7652618135376756,0.7371194697862021,101.0548197600001,57,True
0.01,balanced,clahe_hsv,8,12,1200,0.7942528735632184,0.7603198236480408,48.91741761699814,12,True
0.1,balanced,clahe_hsv,8,12,1200,0.7991060025542784,0.7677820872883888,55.85565235099784,14,True
1.0,balanced,clahe_hsv,8,12,1200,0.7899106002554278,0.7564841551793898,104.84501345299941,32,True
10.0,balanced,clahe_hsv,8,12,1200,0.7697318007662836,0.7402523512981025,179.84312155500083,139,True
0.01,,clahe_hsv,6,9,1764,0.8407407407407408,0.8185063136802273,142.76062978599657,13,True
0.1,,clahe_hsv,6,9,1764,0.8362707535121329,0.8148586547753858,159.8020753439996,15,True
1.0,,clahe_hsv,6,9,1764,0.8213282247765007,0.7940691927956824,209.40045998099959,29,True
10.0,,clahe_hsv,6,9,1764,0.803448275862069,0.7701481347425102,317.2746628189998,80,True
0.01,balanced,clahe_hsv,6,9,1764,0.8412515964240103,0.8141104451748343,147.01262050399964,12,True
0.1,balanced,clahe_hsv,6,9,1764,0.8374201787994892,0.811351994757087,159.35947968899563,15,True
1.0,balanced,clahe_hsv,6,9,1764,0.8223499361430396,0.7925323941006139,223.28428695400362,60,True
10.0,balanced,clahe_hsv,6,9,1764,0.8104725415070243,0.7800430413234154,367.5193544520007,269,True
0.01,,clahe_hsv,6,12,2352,0.8445721583652618,0.8201491557742172,181.17658564799785,13,True
0.1,,clahe_hsv,6,12,2352,0.8357598978288634,0.8103369465889432,198.04991770000197,17,True
1.0,,clahe_hsv,6,12,2352,0.8191570881226053,0.7893400656747881,275.1618801510049,33,True
10.0,,clahe_hsv,6,12,2352,0.801404853128991,0.7661048604117129,238.41524034900067,97,True
0.01,balanced,clahe_hsv,6,12,2352,0.8455938697318007,0.8205314125034373,81.05477596300625,12,True
0.1,balanced,clahe_hsv,6,12,2352,0.8355044699872286,0.8059508940275162,87.91395627999736,16,True
1.0,balanced,clahe_hsv,6,12,2352,0.822477650063857,0.789953194362786,132.2551255080034,76,True
10.0,balanced,clahe_hsv,6,12,2352,0.8054916985951469,0.7735670848912708,214.69240583600185,178,True
